1850s,14120,12,9000,420,1176.6666666666667,700
1860s,8120,12,2200,260,676.6666666666666,480
1870s,800,5,800,800,160.0,800
1880s,1450,4,950,500,362.5,725.0
1890s,2200,2,2200,2200,1100.0,2200
1900s aughts,7275,9,4200,75,808.3333333333334,1500.0
1910s,3600,3,3000,600,1200.0,1800.0
1920s,3300,8,1700,600,412.5,1000
1930s,8000,17,4000,200,470.5882352941176,1200
1940s,7550,13,5500,850,580.7692307692307,1200
1950s,34090,34,5000,100,1002.6470588235294,900
1960s,18690,27,4500,100,692.2222222222222,700.0
1970s,4430,17,1600,380,260.5882352941176,900
1980s,21250,21,3500,150,1011.9047619047619,1400.0
1990s,3800,6,2500,200,633.3333333333334,380
2000s aughts,34430,17,7000,130,2025.2941176470588,1000
2010s,3200,3,2200,1000,1066.6666666666667,1600.0
