1850s,2200,1
1850s,420,1
1850s,500,1
1850s,600,1
1850s,700,2
1850s,9000,1
1850s,Unsold,5
1860s,1100,1
1860s,1300,1
1860s,2200,1
1860s,260,1
1860s,280,1
1860s,300,1
1860s,400,2
1860s,480,1
1860s,650,1
1860s,750,1
1860s,Unsold,1
1870s,800,1
1870s,Unsold,4
1880s,500,1
1880s,950,1
1880s,Unsold,2
1890s,2200,1
1890s,Unsold,1
1900s aughts,1200,1
1900s aughts,1800,1
1900s aughts,4200,1
1900s aughts,75,1
1900s aughts,Unsold,5
1910s,3000,1
1910s,600,1
1910s,Unsold,1
1920s,1000,1
1920s,1700,1
1920s,600,1
1920s,Unsold,5
1930s,1200,1
1930s,200,1
1930s,2200,1
1930s,400,1
1930s,4000,1
1930s,Unsold,12
1940s,1200,1
1940s,5500,1
1940s,850,1
1940s,Unsold,10
1950s,100,2
1950s,1000,2
1950s,120,1
1950s,1200,1
1950s,140,1
1950s,1600,1
1950s,1800,1
1950s,200,1
1950s,2000,2
1950s,2200,1
1950s,300,1
1950s,3000,1
1950s,3200,1
1950s,4000,1
1950s,480,1
1950s,5000,1
1950s,550,1
1950s,800,4
1950s,900,1
1950s,Unsold,9
1960s,100,1
1960s,1100,1
1960s,1300,1
1960s,150,2
1960s,1500,1
1960s,180,1
1960s,2400,2
1960s,260,1
1960s,400,1
1960s,4500,1
1960s,650,1
1960s,700,4
1960s,800,1
1960s,Unsold,9
1970s,1000,1
1970s,1600,1
1970s,380,1
1970s,550,1
1970s,900,1
1970s,Unsold,12
1980s,1000,1
1980s,1300,1
1980s,150,1
1980s,1500,1
1980s,1600,2
1980s,1800,1
1980s,2000,2
1980s,2400,1
1980s,300,1
1980s,3500,1
1980s,400,2
1980s,500,1
1980s,800,1
1980s,Unsold,5
1990s,200,1
1990s,2500,1
1990s,300,1
1990s,380,1
1990s,420,1
1990s,Unsold,1
2000s aughts,1000,3
2000s aughts,130,1
2000s aughts,200,1
2000s aughts,400,3
2000s aughts,5000,3
2000s aughts,600,1
2000s aughts,6500,1
2000s aughts,7000,1
2000s aughts,800,1
2000s aughts,Unsold,2
2010s,1000,1
2010s,2200,1
2010s,Unsold,1
