1963,"650
",Cecil Beaton (1904-1980)
1950,Unsold,Horace Roye (1906-2002)
1987,"1500
",Inge Morath (1923-2002)
1861,"300
",John Jabez Edwin Mayall (1813-1901)
1850,Unsold,Julien Vallou de Villeneuve (1795-1866)
2006,"6500
",Sebastião Salgado (b. 1944)
1975,"1600
","Cindy Sherman, (b.1954)"
1870,"800
",Adolph Braun (1811-1877)
1923,Unsold,Man Ray (Emmanuel Radnitzky) (1890 -1976)
1996,"420
",Keith Carter (b.1948)
1953,"1600
",Thurston Hopkins (b.1913)
1962,"2400
",Walker Evans (1903-1975)
1960,"150
",Gered Mankowitz (b.1946)
1970,Unsold,Ansel Adams (1902-1984)
2005,"130
",Johnnie Shand Kydd (b.1959)
1956,"100
",Angus McBean (1904-1990)
1968,Unsold,Cecil Beaton (1904-1980)
1962,"100
",George Barris (b.1928); J Aarons
1905,"75
",Heinrich Kühn (1866-1944); and others
1981,"400
",Peter Stongwater (b.1941)
1965,"2400
",Frank Horvat (b.1928)
1957,"120
",Ara Güler (b.1928)
1981,"300
",John Blakemore (b.1936)
1855,"700
","Unidentified French Artist, active 1850s"
1947,Unsold,Kurt Hutton (1893-1960)
1987,"1000
",Tomio Seike (b.1943)
1953,"5000
",Henri Cartier-Bresson (1908-2004)
1964,"700
",Zdenek Voženílek (b.1929)
1934,Unsold,Wolfgang Suschitzky (b.1912)
1851,Unsold,Hugh Owen (1808-1866)
1900,"1200
",Eugène Atget (1857-1927)
1952,"200
",Angus McBean (1904-1990)
1970,Unsold,James Fee (1949-2006)
2007,"5000
",Richard Galpin (b.1975)
1947,"1200
",Edouard Boubat (1923-1999)
1957,"3000
",Walker Evans (1903-1975)
1937,Unsold,Herbert List (1903-1975)
1971,Unsold,Jerry N. Uelsmann (b.1934)
2005,Unsold,"Jörg Sasse (German, b.1962)"
1850,Unsold,James Robertson (1813-1888)
2010,Unsold,Philippe Blache (b.1948)
1955,"1000
",Yoshiyuki Iwase (1904-2001)
1960,"800
",Ernst Haas (1921-1986)
1993,"200
",Richard Sadler (b.1927)
1972,"900
",Apollo 17 Astronaut
1954,"800
",Grace Robertson (b.1930)
1909,Unsold,David Octavius Hill (1802-1870 and others
1931,Unsold,Herbert List (1903-1975)
1924,"600
",Laura Gilpin (1891-1979)
1981,Unsold,Peter Stongwater (b.1941)
1860,"260
",Captain George Bankart (1829-1916)
1960,"4500
",Andre Villers (b.1930)
1949,Unsold,George Rodger (1908-1995)
1971,"1000
",David R. Scott (b.1932)
1969,"1100
",Neil Armstrong (b.1930)
1915,Unsold,Frantisek Drtikol (1883-1961)
1957,"3200
",Bill Brandt (1904-1983)
1965,"700
",Bruce Davidson (b.1933)
