1850s,Unsold,1
1860s,1200,1
1860s,1500,1
1860s,450,1
1860s,700,1
1860s,7000,1
1860s,800,1
1860s,Unsold,2
1870s,2200,1
1870s,400,2
1870s,600,1
1870s,750,1
1870s,Unsold,1
1880s,1300,1
1880s,420,1
1890s,130,1
1900s aughts,850,1
1900s aughts,Unsold,4
1910s,600,1
1910s,Unsold,9
1920s,3000,1
1920s,400,1
1920s,Unsold,1
1930s,1700,1
1930s,2400,1
1930s,30000,1
1930s,3600,1
1930s,4000,1
1930s,Unsold,13
1940s,1100,1
1940s,180,1
1940s,2000,1
1940s,300,1
1940s,3500,1
1940s,500,2
1940s,600,1
1940s,6500,1
1940s,800,2
1940s,9000,1
1940s,Unsold,11
1950s,1000,2
1950s,1100,2
1950s,1200,1
1950s,1400,3
1950s,1800,1
1950s,200,2
1950s,2000,3
1950s,2800,1
1950s,3000,1
1950s,400,1
1950s,600,2
1950s,700,3
1950s,750,2
1950s,800,1
1950s,8000,1
1950s,850,1
1950s,Unsold,18
1960s,1300,1
1960s,1600,2
1960s,16000,1
1960s,1800,1
1960s,2000,1
1960s,250,2
1960s,380,1
1960s,400,1
1960s,4000,1
1960s,420,2
1960s,500,2
1960s,650,1
1960s,700,1
1960s,750,1
1960s,Unsold,17
1970s,100,1
1970s,1000,2
1970s,1300,2
1970s,1500,1
1970s,2000,2
1970s,2400,1
1970s,2600,1
1970s,300,3
1970s,350,1
1970s,400,1
1970s,480,1
1970s,500,2
1970s,600,3
1970s,6000,1
1970s,700,1
1970s,750,1
1970s,800,3
1970s,950,1
1970s,Unsold,12
1980s,1200,1
1980s,1500,1
1980s,2800,1
1980s,300,2
1980s,650,1
1980s,8500,1
1980s,Unsold,4
1990s,220,1
1990s,420,1
1990s,Unsold,7
2000s aughts,1500,2
2000s aughts,1800,2
2000s aughts,2000,1
2000s aughts,800,1
2000s aughts,Unsold,6
