1910s,Unsold
1970s,Unsold
1890s,"130
"
1960s,"500
"
1970s,Unsold
1970s,"2400
"
1930s,Unsold
1970s,Unsold
2000s aughts,"1500
"
1960s,Unsold
1940s,"500
"
1960s,Unsold
1930s,Unsold
1930s,Unsold
1970s,"800
"
1930s,"4000
"
2000s aughts,Unsold
1970s,Unsold
2000s aughts,Unsold
1940s,Unsold
1930s,Unsold
1970s,"800
"
1950s,"700
"
2000s aughts,"2000
"
1950s,"700
"
1860s,"700
"
1950s,"200
"
1960s,"2000
"
1960s,"4000
"
1950s,Unsold
1930s,"30000
"
1970s,"2600
"
2000s aughts,"1800
"
1910s,Unsold
1950s,"400
"
1860s,"1200
"
1910s,Unsold
1960s,Unsold
1920s,"400
"
1920s,Unsold
1900s aughts,Unsold
2000s aughts,"1800
"
1960s,"1300
"
1970s,"500
"
1930s,Unsold
1950s,"2000
"
1980s,"8500
"
1950s,Unsold
1940s,"6500
"
1970s,"1500
"
1970s,"500
"
1910s,Unsold
1980s,Unsold
1950s,"3000
"
1950s,"600
"
1930s,Unsold
1970s,"1000
"
1970s,"1300
"
1990s,Unsold
1930s,Unsold
1990s,Unsold
1960s,Unsold
1980s,"650
"
1910s,Unsold
1950s,Unsold
1980s,"300
"
1980s,"2800
"
1940s,Unsold
1910s,Unsold
1970s,"750
"
1960s,Unsold
1950s,"1400
"
1940s,Unsold
1930s,Unsold
1980s,Unsold
1940s,"2000
"
1950s,Unsold
1950s,Unsold
1910s,Unsold
1970s,Unsold
1950s,Unsold
1950s,Unsold
1880s,"420
"
1990s,Unsold
2000s aughts,Unsold
1960s,Unsold
1860s,Unsold
1960s,"16000
"
1950s,Unsold
1950s,"850
"
1900s aughts,Unsold
1970s,"600
"
1950s,Unsold
1960s,Unsold
2000s aughts,"800
"
1940s,"600
"
1970s,"600
"
1950s,"600
"
1970s,Unsold
1950s,"8000
"
1950s,"750
"
1970s,"700
"
1940s,Unsold
1950s,"2000
"
1950s,Unsold
1970s,Unsold
1930s,"2400
"
1940s,Unsold
1960s,Unsold
1960s,Unsold
1860s,"7000
"
1960s,"1600
"
1950s,Unsold
2000s aughts,Unsold
1940s,Unsold
1960s,"420
"
1990s,Unsold
1860s,Unsold
1990s,"420
"
1970s,Unsold
1950s,"1400
"
1970s,"480
"
1940s,Unsold
1960s,Unsold
1970s,Unsold
1960s,"420
"
1950s,"800
"
1970s,"350
"
1960s,Unsold
1960s,"1800
"
1930s,Unsold
1870s,"750
"
1980s,"300
"
1950s,"1000
"
1990s,"220
"
1970s,"300
"
1910s,"600
"
1960s,"750
"
1870s,"600
"
1870s,"2200
"
1960s,"400
"
1960s,Unsold
1900s aughts,Unsold
1900s aughts,Unsold
1940s,Unsold
1990s,Unsold
1940s,"9000
"
1950s,Unsold
1860s,"450
"
2000s aughts,"1500
"
1870s,Unsold
1960s,"500
"
1940s,"500
"
1940s,Unsold
1850s,Unsold
1930s,Unsold
1940s,"300
"
1920s,"3000
"
1940s,"3500
"
2000s aughts,Unsold
1900s aughts,"850
"
1970s,Unsold
1970s,"600
"
1940s,"1100
"
1970s,"100
"
1960s,"250
"
1860s,"800
"
1970s,"950
"
1930s,Unsold
1950s,Unsold
1950s,"1400
"
1930s,"1700
"
1990s,Unsold
1910s,Unsold
1980s,"1500
"
1950s,"200
"
1960s,"1600
"
1940s,Unsold
1970s,"800
"
1930s,Unsold
1950s,"2000
"
1950s,Unsold
1970s,"1300
"
1950s,"1800
"
1970s,Unsold
1970s,"400
"
1960s,Unsold
1960s,"650
"
2000s aughts,Unsold
1950s,Unsold
1950s,"700
"
1870s,"400
"
1960s,Unsold
1940s,"800
"
1950s,"1100
"
1980s,"1200
"
1990s,Unsold
1910s,Unsold
1940s,Unsold
1880s,"1300
"
1960s,Unsold
1960s,Unsold
1970s,"6000
"
1970s,"2000
"
1950s,"2800
"
1960s,"250
"
1980s,Unsold
1950s,Unsold
1970s,"300
"
1970s,Unsold
1960s,Unsold
1860s,"1500
"
1940s,"800
"
1950s,Unsold
1950s,Unsold
1950s,"750
"
1970s,"1000
"
1950s,"1000
"
1960s,"700
"
1950s,"1200
"
1970s,"300
"
1940s,"180
"
1970s,"2000
"
1960s,"380
"
1930s,Unsold
1930s,"3600
"
1950s,"1100
"
1980s,Unsold
1870s,"400
"
