1992,Unsold,Jalai Abbas (b.1944)
1978,"750
",John Blakemore (b.1936)
1947,"3500
",Henri Cartier-Bresson (1908-2004)
1910,Unsold,"Rudolf Lehnert (1878-1948), Landrock (1878-1971)"
1955,"750
",Yoshiyuki Iwase (1904-2001)
1964,"420
",Roberto Salas (b.1940)
1953,"750
",Kiichi Asano (1914-1990)
1920,Unsold,Albert Renger-Patzsch (1897-1966)
1907,Unsold,Sir J Benjamin Stone (1838-1914)
1875,"2200
",J. Forbes Watson; John William Kaye (eds)
1976,"1000
",Bill Brandt (1904-1983)
1957,"1100
",Richard Sadler (b. 1927)
1980,Unsold,Peter Kernot (1937-1995)
1955,"2000
",William Klein (b.1928)
1951,Unsold,Aaron Siskind (1903-1991)
1979,Unsold,Nan Goldin (b.1953)
1915,Unsold,Edward Steichen (1879-1973)
1860,"1500
",Charles Marville (1816-1879)
1973,"300
",Colin Jones (b.1936)
1948,Unsold,George Rodger (1908-1995)
1946,"1100
",Édouard Boubat (1923-1999)
1954,"700
",Thurston Hopkins (b.1913)
1957,Unsold,David Hurn (b.1934)
1952,Unsold,Seydou Keita (1921- 2001)
1983,Unsold,Terry O'Neill (b.1938)
1895,"130
",London Stereoscopic and Photographic Company
1969,Unsold,Guy Le Querrec (b.1941)
1973,"300
",Colin Jones (b.1936)
1948,Unsold,Weegee (1899-1968)
1860,"800
","Follower of Julia Margaret Cameron, 1860s"
1978,"950
",John Blakemore (b.1936)
1989,"2800
",Elliott Erwitt (b.1928)
1964,"500
",Roberto Salas (b.1940)
1940,"300
",Louise Dahl-Wolfe (1895-1989)
1965,"1300
", John Krish (b.1923)
1869,"450
","John Dunmore, George Critcherson, (active 1860s)"
1997,"420
",Colin Jones (b.1936)
1930,Unsold,John Havinden (1908-1987)
1974,"800
",Martin Parr (b.1952)
1948,Unsold,Gyorgy Kepes (1906-2001)
1948,Unsold,Dorothy Wilding (1893-1973)
1962,Unsold,Bert Stern (b. 1929)
1946,Unsold,Dorothy Wilding (1893-1973)
1930,"2400
",Josef Sudek (1896-1976)
2001,"1800
",Abelardo Morell (b.1948)
1970,Unsold,Paul Hill (b.1941)
1950,"600
",Thurston Hopkins (b.1913)
1995,Unsold,Malcolm Pasley (b.1956)
1960,Unsold,Peter Keetman (1916-2005)
1870,"600
",Joseph Lawton (active 1860-1872); Skeen and Co. an
1956,Unsold,William Klein (b.1928)
2009,Unsold,André S Solidor (b.1962) a.k.a. Elliott Erwitt
2001,Unsold,Daido Moriyama (b.1938)
1968,"1600
",Tony Ray-Jones (1941-1972)
1955,Unsold,Yoshiyuki Iwase (1904-2001)
1940,"800
",Gyorgy Kepes (1906-2001)
1965,Unsold,David Hurn (b.1934)
1977,"500
",John Blakemore (b.1936)
1996,Unsold,Bernard Paillard
1910,"600
","Rudolf Lehnert (1878-1948), Landrock (1878-1971)"
1974,"350
",John Blakemore (b.1936)
1960,Unsold,Grace Robertson (b.1930)
1956,Unsold,William Klein (b.1928)
1954,Unsold,Thurston Hopkins (b.1913)
1990,"220
",Rodney Graham (b.1949)
1988,"300
",Michael Kenna (b.1953)
1935,Unsold,Eva Besnyö (1910-2002)
1949,Unsold,George Rodger (1908-1995)
1967,"4000
",NASA
1948,"600
",Grace Robertson (b.1930)
1999,Unsold,Cristina Piza (b.1963)
1975,"100
",George Hallett (b.1942)
1910,Unsold,"Rudolf Lehnert (1878-1948), Landrock (1878-1971)"
1876,Unsold,Charles Dodgson (Lewis Carroll) (1832-1898)
1974,Unsold,Stephen Shore (b.1947)
1930,Unsold,Dr Paul Wolff (1887-1951)
1957,"3000
",Bill Brandt (1904-1983)
1999,Unsold,Cristina Piza (b.1963)
1952,"850
",Thurston Hopkins (b.1913)
1939,"3600
",Horst P Horst (1906-1999)
1910,Unsold,"Rudolf Lehnert (1878-1948), Landrock (1878-1971)"
1955,"600
",Jules Aarons (1921-2008)
1967,"400
",Osvaldo Salas (1914-1992)
1971,Unsold,Cecil Beaton (1904-1980)
1971,"500
",John Blakemore (b.1936)
1977,"600
",John Blakemore (b.1936)
1987,"650
",Eva Rubinstein (b.1933)
1887,"1300
",Photographer Unknown
1948,"6500
",Irving Penn (1917-2009)
1946,"2000
",Horst P Horst (1906-1999)
1972,"2000
",Jeanloup Sieff (1933-2000)
1935,Unsold,Eva Besnyö (1910-2002)
1948,Unsold,George Rodger (1908-1995)
2008,Unsold,Alberto Petrò (b.1980)
1912,Unsold,Adolph de Meyer (1868-1949)
1973,Unsold,Colin Jones (b.1936)
1963,Unsold,Lewis Morley (b.1925)
1858,Unsold,Dr John Murray (1809-1898)
1983,"1500
",Sebastiao Salgado (b.1944)
1955,"200
",Jules Aarons (1921-2008)
1951,Unsold,Grace Robertson (b.1930)
1964,"700
",Osvaldo Salas (1914-1992)
1954,Unsold,Jean-Philippe Charbonnier (1921-2004)
1963,Unsold,Jorge S. Lewinski (b.1921)
2006,"1500
",Rob Carter (b.1968)
1967,Unsold,Osvaldo Salas (1914-1992)
1974,"1300
",David Hockney (b.1937)
1938,Unsold,Horst P Horst (1906-1999)
1947,Unsold,Brassai (1899-1984)
1976,"400
",Richard Sadler (b.1927)
1930,Unsold,Dr Paul Wolff (1887-1951)
1954,"200
",Jules Aarons (1921-2008)
1931,Unsold,Alexander Rodchenko (1891-1956)
1968,"1600
",Larry Clark (b.1943)
1954,Unsold,Elliott Erwitt (b.1928)
1977,"480
",John Blakemore (b.1936)
1984,"8500
",Steve McCurry (b.1950)
1950,"1400
",Edouard Boubat (1923-1999)
1971,"600
",Antanas Sutkus (b.1930)
1910,Unsold,"Rudolf Lehnert (1878-1948), Landrock (1878-1971)"
1959,Unsold,Willy Ronis (1910-2009)
1985,"300
",Paul Hill (b.1941)
1930,Unsold,Ergy Landau (1896-1967)
1950,"1400
",Richard Sadler (b.1927)
1996,Unsold,Tomio Seike (b.1943)
1958,"2000
",Bruce Davidson (b.1933)
1954,"700
",Grace Robertson (b.1930)
1965,Unsold,Roberto Salas (b.1940)
1910,Unsold,"Rudolf Lehnert (1878-1948), Landrock (1878-1971)"
1956,"1000
",Kiichi Asano (1914-1990)
1950,Unsold,Aaron Siskind (1903-1991)
2005,"1800
",Garry Fabian Miller (b.1957)
1964,"2000
",Elliott Erwitt (b.1928)
1963,"420
",Colin Jones (b.1936)
2001,Unsold,Abelardo Morell (b.1948)
1908,Unsold,Herbert George Ponting (1870 - 1935)
1943,Unsold,Robert Capa (1913-1954)
1876,"400
",William Willoughby Hooper (1837–1912)
1944,"9000
",Henri Cartier-Bresson (1908-2004)
1910,Unsold,"Rudolf Lehnert (1878-1948), Landrock (1878-1971)"
1972,"2000
",Ethan Russell (b.1945)
1963,"380
",Roberto Salas (b.1940)
1948,"500
",Grace Robertson (b.1930)
1953,"1200
",Thurston Hopkins (b.1913)
1956,Unsold,Henri Cartier-Bresson (1908-2004)
2002,"2000
",Garry Fabian Miller (b.1957)
1967,Unsold,David Hurn (b.1934)
1966,Unsold,Eve Arnold (1913-2012)
1930,Unsold,Ergy Landau (1896-1967)
1860,"700
",Henry Dixon (1820-1893)
1932,"4000
",Alexander Rodchenko (1891-1956)
2006,Unsold,Rob Carter (b.1968)
1975,"800
",Malick Sidibé  (b.1935/6)
1970,"700
",David Hurn (b.1934)
1965,Unsold,David Hurn (b.1934)
1978,"1300
",Hiroshi Sugimoto (b.1948)
1963,"250
",Roberto Salas (b.1940)
2001,"1500
",Abelardo Morell (b.1948)
2002,Unsold,Alec Soth (b.1969)
2004,"800
",Boyd (b.1944) and Evans (b.1945)
1983,Unsold,Paul Hill (b.1941)
1967,Unsold,Osvaldo Salas (1914-1992); Roberto Salas (b.1940)
1936,Unsold,Robert Capa (1913-1954) and Chim (1911-1956)
1969,"750
",Raymond Moore (1920-1987)
1975,Unsold,André Kertész (1894-1985)
1965,Unsold,Roberto Salas (b.1940)
1910,Unsold,"Rudolf Lehnert (1878-1948), Landrock (1878-1971)"
1948,Unsold,Dorothy Wilding (1893-1973)
1952,"2800
",Bill Brandt (1904-1983)
1969,"16000
",Iain Macmillan (1938-2006)
1906,Unsold,Edward Sheriff Curtis (1868-1952)
1971,"2600
",Terry O'Neill (b.1938)
1950,Unsold,Eve Arnold (1912-2012)
1941,"800
",Gyorgy Kepes (1906-2001)
1903,Unsold,Gertrude Käsebier (1852–1934)
1954,"1000
",Thurston Hopkins (b.1913)
1956,"1100
",Ed van der Elsken (1925-1990)
1860,Unsold,William Willoughby Hooper (1837–1912)
1904,"850
",Jacques Henri Lartigue (1894-1986)
1980,Unsold,Helmut Newton (1920-2004)
1955,"2000
",Ansel Adams (1902-1984)
1860,"1200
",John Edward Saché (1840–1882)
1940,Unsold,Cecil Beaton (1904-1980)
1959,Unsold,Roberto Salas (b.1940)
1950,"8000
",Robert Doisneau (1912-1994)
