1940s,"1100
"
1970s,"600
"
1940s,Unsold
1940s,Unsold
1970s,"1100
"
1950s,"240
"
1950s,Unsold
1950s,"500
"
1980s,"6500
"
1900s aughts,"400
"
1880s,Unsold
1950s,Unsold
1930s,Unsold
1980s,"1300
"
2010s,"600
"
1950s,"700
"
1960s,"4000
"
1980s,"1300
"
1970s,Unsold
1930s,Unsold
1960s,"7000
"
1940s,"2400
"
2000s aughts,"900
"
1950s,"1500
"
1990s,Unsold
1960s,"2000
"
1960s,"1500
"
1940s,"600
"
1960s,"500
"
1850s,Unsold
1970s,"800
"
1950s,Unsold
1920s,"5000
"
1960s,Unsold
1940s,Unsold
1940s,"1000
"
1850s,Unsold
1970s,"350
"
1950s,"1600
"
1880s,"550
"
2000s aughts,Unsold
1960s,"1600
"
1970s,Unsold
1890s,"900
"
1910s,Unsold
1990s,Unsold
1960s,"1500
"
1950s,"650
"
1960s,"10000
"
1930s,Unsold
1980s,"320
"
1990s,"550
"
1950s,Unsold
1970s,"600
"
2000s aughts,"4200
"
1950s,"1500
"
1930s,Unsold
1960s,"3200
"
1960s,"1200
"
1950s,"800
"
1950s,"1300
"
1990s,"1100
"
1990s,Unsold
1960s,Unsold
1870s,"3200
"
1970s,"800
"
1980s,Unsold
1980s,Unsold
1850s,"1000
"
1930s,"1300
"
2000s aughts,"700
"
1980s,"850
"
1980s,"1400
"
1970s,Unsold
1970s,"1000
"
1990s,"900
"
1940s,Unsold
1960s,"5500
"
1950s,"750
"
1850s,Unsold
1950s,"1900
"
1970s,"850
"
1970s,"800
"
1940s,"2800
"
1850s,Unsold
1940s,"600
"
1950s,Unsold
1950s,Unsold
1930s,Unsold
1950s,"650
"
1940s,"650
"
1930s,"250
"
1990s,Unsold
1950s,"700
"
1970s,"1000
"
1950s,"1600
"
1970s,"350
"
1850s,Unsold
1950s,"700
"
1880s,Unsold
1950s,Unsold
1930s,"1500
"
2000s aughts,"4400
"
1960s,"600
"
2000s aughts,"1000
"
1930s,Unsold
1950s,Unsold
1970s,Unsold
1950s,Unsold
1950s,"2000
"
1940s,Unsold
1880s,"1400
"
1880s,Unsold
1950s,"2400
"
1950s,"5500
"
1970s,"350
"
1960s,Unsold
1980s,"1300
"
1950s,"400
"
1900s aughts,Unsold
1860s,"1000
"
1920s,Unsold
1960s,Unsold
1910s,"1100
"
2000s aughts,"1300
"
1850s,"700
"
1950s,"2000
"
1910s,"800
"
1880s,"700
"
1950s,"1600
"
1980s,Unsold
1880s,"450
"
1960s,Unsold
1950s,Unsold
1880s,"400
"
1930s,"950
"
1970s,"14000
"
1950s,Unsold
1960s,"2200
"
1990s,Unsold
1980s,Unsold
1960s,"3200
"
1960s,Unsold
2000s aughts,"200
"
1960s,"600
"
1880s,Unsold
1880s,Unsold
1950s,"600
"
1950s,Unsold
1970s,"850
"
1950s,Unsold
2000s aughts,Unsold
1960s,"700
"
1910s,Unsold
1930s,"3800
"
1940s,"1500
"
1970s,"1700
"
1860s,"480
"
1880s,"110
"
1960s,Unsold
1960s,"500
"
1990s,"3000
"
1980s,"700
"
1980s,Unsold
1930s,Unsold
1900s aughts,"50
"
1960s,"1000
"
1990s,Unsold
1930s,"3500
"
2000s aughts,"1200
"
1960s,"1200
"
1950s,Unsold
1960s,"1000
"
1970s,"420
"
2000s aughts,"280
"
1970s,Unsold
1950s,Unsold
1960s,"1300
"
1950s,"480
"
1930s,Unsold
1970s,Unsold
1850s,Unsold
1930s,"4200
"
1960s,Unsold
1970s,"500
"
1880s,Unsold
1920s,"600
"
1940s,Unsold
1940s,"1500
"
1930s,"1450
"
1980s,Unsold
1950s,"2400
"
1990s,"5000
"
1940s,"1100
"
1950s,"3200
"
1970s,"2800
"
1940s,Unsold
1950s,"500
"
1920s,Unsold
1920s,Unsold
1940s,Unsold
1990s,Unsold
1920s,Unsold
1950s,Unsold
1950s,"300
"
1970s,"1800
"
1960s,Unsold
2000s aughts,"2000
"
1880s,Unsold
1940s,Unsold
2000s aughts,"1600
"
1970s,Unsold
2000s aughts,Unsold
1920s,Unsold
1940s,"1000
"
1950s,"3200
"
1940s,Unsold
1970s,"750
"
1950s,"1000
"
1950s,"600
"
1960s,"500
"
1950s,Unsold
1960s,"950
"
1850s,Unsold
1960s,"600
"
1940s,Unsold
1980s,"900
"
1970s,Unsold
1930s,Unsold
1850s,Unsold
1990s,"900
"
1960s,Unsold
1960s,"1000
"
1910s,Unsold
1980s,Unsold
1970s,Unsold
1950s,Unsold
1930s,Unsold
1950s,"900
"
