1950s,Unsold
2000s aughts,Unsold
1970s,"2400
"
1940s,Unsold
1950s,Unsold
1950s,"8500
"
1960s,Unsold
1960s,"400
"
1980s,"1000
"
1900s aughts,Unsold
1960s,Unsold
1900s aughts,"350
"
1970s,Unsold
1950s,Unsold
1950s,Unsold
1860s,Unsold
1970s,"700
"
1880s,"1200
"
1980s,Unsold
1910s,Unsold
1950s,Unsold
1980s,"2200
"
1950s,"1100
"
1940s,Unsold
1970s,Unsold
1860s,Unsold
1880s,Unsold
1960s,"700
"
2010s,Unsold
2010s,"1500
"
1950s,"800
"
1990s,Unsold
1980s,Unsold
1980s,"400
"
1930s,Unsold
1950s,Unsold
1910s,"1300
"
1960s,"400
"
1980s,Unsold
1950s,Unsold
1930s,"2600
"
1950s,Unsold
1970s,Unsold
1980s,"800
"
1950s,Unsold
1880s,"550
"
1880s,"400
"
1950s,"1200
"
1950s,Unsold
1990s,"4000
"
1990s,Unsold
1950s,"900
"
1960s,"550
"
1990s,"1500
"
2000s aughts,Unsold
1970s,Unsold
1950s,"2800
"
1930s,"10000
"
1910s,"150
"
1940s,"500
"
1900s aughts,"400
"
1970s,"800
"
2000s aughts,"700
"
1970s,"1500
"
1980s,"2000
"
1970s,"460
"
1990s,"3000
"
1950s,"2200
"
1880s,Unsold
1970s,"1200
"
1950s,Unsold
1920s,"1900
"
1960s,"1000
"
1910s,Unsold
1940s,"600
"
1950s,"480
"
1960s,Unsold
1960s,"800
"
1970s,Unsold
1970s,"800
"
1900s aughts,"1200
"
1900s aughts,"50
"
1970s,"850
"
1970s,"800
"
1870s,"480
"
1970s,"2600
"
1880s,"1100
"
1960s,Unsold
1960s,Unsold
1960s,Unsold
1900s aughts,Unsold
1980s,Unsold
1900s aughts,Unsold
1890s,"1700
"
1900s aughts,"3000
"
1970s,Unsold
1960s,Unsold
1950s,Unsold
1970s,"1200
"
1880s,Unsold
1960s,"650
"
1970s,"800
"
1960s,Unsold
1900s aughts,"800
"
1940s,"900
"
1980s,Unsold
1900s aughts,Unsold
1880s,Unsold
1960s,"2000
"
1960s,Unsold
1950s,"600
"
1950s,Unsold
1880s,"950
"
1970s,Unsold
1900s aughts,Unsold
1950s,Unsold
1880s,"1000
"
1960s,"900
"
1960s,"400
"
1950s,"1200
"
1880s,"1000
"
1950s,Unsold
2000s aughts,Unsold
1970s,"1950
"
1880s,Unsold
2000s aughts,"2000
"
1880s,"600
"
1970s,Unsold
1980s,"1000
"
1940s,"1100
"
1970s,Unsold
1880s,Unsold
1960s,Unsold
1900s aughts,Unsold
1900s aughts,"240
"
1880s,Unsold
1900s aughts,Unsold
1950s,Unsold
1950s,Unsold
1860s,"650
"
1960s,Unsold
2010s,"600
"
1980s,Unsold
1950s,"800
"
1910s,"160
"
1980s,Unsold
1900s aughts,Unsold
1850s,Unsold
1900s aughts,"500
"
1970s,"1000
"
1990s,Unsold
1930s,"1500
"
1900s aughts,Unsold
1970s,"800
"
1960s,"1600
"
1940s,"420
"
1960s,Unsold
1900s aughts,Unsold
1970s,"1000
"
1900s aughts,Unsold
1980s,Unsold
1970s,"600
"
1960s,"1100
"
1960s,"500
"
1860s,Unsold
1990s,Unsold
1930s,"5500
"
1970s,Unsold
1950s,Unsold
1850s,Unsold
1950s,Unsold
1970s,"800
"
1970s,Unsold
1960s,Unsold
1960s,"2000
"
1960s,"11500
"
1900s aughts,Unsold
1980s,Unsold
1850s,Unsold
1950s,"2200
"
1940s,"4000
"
1980s,Unsold
1970s,Unsold
1900s aughts,"400
"
1990s,"12000
"
1960s,Unsold
1880s,Unsold
1940s,"800
"
1990s,Unsold
1910s,"1100
"
2000s aughts,Unsold
1970s,Unsold
1970s,"1200
"
1970s,"500
"
1940s,"4800
"
1930s,Unsold
1970s,"800
"
1960s,"1000
"
1980s,"1450
"
1950s,"1400
"
1960s,Unsold
1980s,"1950
"
1960s,"260
"
1960s,"1000
"
1920s,Unsold
1950s,Unsold
1950s,Unsold
1950s,"1800
"
1970s,"1400
"
1960s,Unsold
1900s aughts,Unsold
1960s,"3200
"
1970s,"440
"
1970s,"3000
"
1950s,"6000
"
