1957,"480
",Elio Ciol (b.1929)
1957,"2200
",William Klein (b.1928)
1971,"600
",Lucien Clergue (b.1934)
1949,Unsold,Willy Ronis (1910-2009)
1981,"1000
",Stephen Shore (b.1947)
1970,Unsold,Mario Giacomelli (1925-2000)
1983,Unsold,Aaron Siskind (1903-1991)
1957,"2800
",O. Winston Link (1914-2001)
1964,Unsold,Mario Giacomelli (1925-2000)
1957,"1400
",Robert Doisneau (1912-1994)
1904,Unsold,Frederick H. Evans (1853-1943)
1970,"1200
",Chris Killip (b.1946)
2010,Unsold,Monique Jacot (b.1934)
1903,Unsold,Frederick H. Evans (1853-1943)
1940,"900
",Bernard Silberstein (1905-1999)
1950,Unsold,Robert Doisneau (1912-1994)
1932,Unsold,Bill Brandt (1904-1983)
1950,Unsold,Lotte Jacobi (1896-1990)
1992,"4000
",Patrick Demarchelier (b.1943)
1975,"850
",Elliott Erwitt (b.1928)
1989,"2200
",Elliott Erwitt (b.1928)
1890,"1700
",Guglielmo von Plüschow (1852-1930)
1978,Unsold,Elliott Erwitt (b.1928)
1965,Unsold,NASA / James McDivitt (b.1929)
1906,Unsold,Hans Watzek (1848-1903)
1954,Unsold,Elliott Erwitt (b.1928)
1989,Unsold,Robert Rauschenberg (1925-2008)
1969,"260
",NASA/ Richard Gordon (b.1929)
1951,Unsold,Angus McBean (1904-1990)
1989,"1000
",David Bailey (b.1938)
1991,"12000
",Nobuyoshi Araki (b.1940)
1887,"1100
",Eadweard Muybridge (1830-1904)
1974,"1400
",Aaron Siskind (1903-1991)
1969,"650
", NASA / Buzz Aldrin (b.1930)
1975,"800
",Martin Parr (b.1952)
1981,"1450
",John Blakemore (b.1936)
1992,"3000
",Patrick Demarchelier (b.1943)
1976,"1200
",Aaron Siskind (1903-1991)
1964,Unsold,Nat Finkelstein (1933-2009)
1975,"2600
",Elliott Erwitt (b.1928)
1932,"5500
",Brassaï (1899-1984)
1957,Unsold,Elliott Erwitt (b.1928)
1979,Unsold,Mario Giacomelli (1925-2000)
1880,"1000
",Philip Adolphe Klier (ca.1845-1911) and others
1989,Unsold,Albert Watson (b.1942)
1981,"1950
",Willy Ronis (1910-2009)
1964,"1600
",Robert Whitaker (1939-2011)
1888,Unsold,Peter Henry Emerson (1856-1936)
1971,Unsold,Jerry Uelsmann (b.1934)
1887,Unsold,Eadweard Muybridge (1830-1904)
1905,"3000
",Charles Jones (1866-1959)
1959,"600
",Paul Caponigro (b.1932)
1970,Unsold,Antonio Galvez (dates unknown)
1945,"600
",Ruth Bernhard (1905-2006)
2000,Unsold,Helmut Newton (1920 -2004)
1886,Unsold,Peter Henry Emerson (1856-1936)
1940,"420
",Stephen Glass (active 1940s)
1969,"2000
",David Bailey (b.1938)
1887,"1000
",Eadweard Muybridge (1830-1904)
1960,Unsold,Peter Johns (active 1950s - 1970s)
1910,"150
",Frank Eugene (1865-1936)
1973,"800
",Raymond Moore (1920-1987)
1887,"400
",Eadweard Muybridge (1830-1904)
1975,Unsold,Patrick Demarchelier (b.1943)
1905,"50
",Alfred Stieglitz (1864-1946)
1887,Unsold,Eadweard Muybridge (1830-1904)
1887,"600
",Eadweard Muybridge (1830-1904)
1954,"2200
",Elliott Erwitt (b.1928)
1975,Unsold,Fay Godwin (1931-2005)
1967,"1000
",Tony Ray-Jones (1941-1972)
1959,"1800
",Willy Ronis (1910-2009)
1905,Unsold,Clarence H. White (1871-1925)
1860,Unsold,George Kendall Warren (1824-1884)
1979,"500
",George Rodger (1908-1995)
1903,Unsold,Clarence H. White (1871-1925)
1954,"900
",Sabine Weiss (b.1924)
1886,Unsold,Peter Henry Emerson (1856-1936)
1980,Unsold,Lucien Clergue (b.1934)
1900,"500
",Baron Wilhelm von Gloeden (1856-1931)
1955,Unsold,Elliott Erwitt (b.1928)
1965,"400
",Charles Harbutt (b.1935)
1932,"10000
",Brassaï (1899-1984)
1906,Unsold,Edward Steichen (1879-1973)
1954,Unsold,William A. Garnett (1916-2006)
1953,Unsold,Thurston Hopkins (b. 1913)
1941,Unsold,Horst P Horst (1906-1999)
2006,"700
",Peter Suschitzky (b.1940)
1976,Unsold,Jean-Philippe Charbonnier (1921-2004)
1900,Unsold,Baron Wilhelm von Gloeden (1856-1931)
1903,Unsold,Clarence H. White (1871-1925)
1998,"1500
",Bob Carlos-Clarke (1950-2006)
1967,"2000
",Marc Riboud (b.1923)
1991,Unsold,Martin Parr (b.1952)
1967,"1000
",Tony Ray-Jones (1941-1972)
1977,Unsold,Francesca Woodman (1958- 1981)
1857,Unsold,Linnaeus Tripe (1822-1902)
1974,"1200
",Aaron Siskind (1903-1991)
1950,"1100
",Bert Hardy (1913-1995)
1962,Unsold,Jean-Loup Sieff (1933-2000)
1977,"2400
",Martin Parr (b.1952)
1951,"800
",Herman Leonard (1923-2010)
1860,Unsold,"Giorgio Sommer (1834-1914), Roberto Rive (active 1"
1940,"500
",Norman Parkinson (1913-1990)
1864,"650
",Julia Margaret Cameron (1815-1879)
1987,Unsold,Robert Doisneau (1912-1994)
1954,Unsold,William A. Garnett (1916-2006)
1888,Unsold,Peter Henry Emerson (1856-1936)
2000,"2000
",Helmut Newton (1920 -2004)
1969,Unsold,Cecil Beaton (1904-1980)
1932,"2600
",Brassaï (1899-1984)
1969,"550
",NASA / Michael Collins (b.1930)
1965,Unsold,NASA / Thomas Stafford (b.1930)
1955,"800
",William Klein (b.1928)
1906,Unsold,Edward Steichen (1879-1973)
1956,Unsold,William A. Garnett (1916-2006)
1973,Unsold,Albert Watson (b.1942)
1956,"1200
",René Burri (b.1933)
1909,Unsold,Herbert French (1872-1942)
1963,"400
",Zoë Dominic (1920-2011)
1921,"1900
",André Kertész (1894-1985)
1926,Unsold,Berenice Abbott (1898-1991)
1950,Unsold,Lotte Jacobi (1896-1990)
1910,Unsold,Frank Eugene (1865-1936)
1959,"8500
",Norman Parkinson (1913-1990)
1887,"950
",Eadweard Muybridge (1830-1904)
1986,"400
",Albert Watson (b.1942)
1956,Unsold,Edouard Boubat (1923-1999)
1965,Unsold,Lucien Clergue (b.1934)
1949,"4800
",Robert Doisneau (1912-1994)
1981,Unsold,Martin Parr (b.1952)
1944,"1100
",Aaron Siskind (1903-1991)
2013,"600
",John Blakemore (b.1936)
1969,Unsold,NASA
1974,"800
",Ian Berry (b.1934)
2010,"1500
",Lucien Clergue (b.1934)
1888,Unsold,Peter Henry Emerson (1856-1936)
1978,"700
",Martin Parr (b.1952)
1998,Unsold,Bettina Von Zehl (b.1971)
1901,"800
",Edward Steichen (1879-1973)
1941,"4000
",Tony Ray-Jones (1941-1972)
1857,Unsold,Roger Fenton (1819-1859)
1870,"480
",Photographer Unknown
1953,Unsold,Edouard Boubat (1923-1999)
1953,Unsold,Elliott Erwitt (b.1928)
1934,"1500
",Robert Doisneau (1912-1994)
1966,"400
",Terry Fincher (1931-2008)
1886,Unsold,Peter Henry Emerson (1856-1936)
1981,"800
",Martin Parr (b.1952)
1951,Unsold,Ruth Orkin (1921-1985)
1961,Unsold,Liborio Noval (1934-2012)
1968,"700
",NASA / William Anders (b.1933)
1977,"800
",John Blakemore (b.1936)
1939,Unsold,Manuel Álvarez Bravo (1902-2002)
1971,"440
",NASA / David Scott (b.1932)
1961,Unsold,Albert Renger-Patzsch (1897-1966)
1970,"1500
",Antonio Galvez (dates unknown)
1972,"460
",NASA / Charles Duke (b.1935)
1987,Unsold,Robert Rauschenberg (1925-2008)
1957,"1200
",Mario Giacomelli (1925-2000)
1985,Unsold,Olivia Heussler (b.1955)
1913,"160
",Lewis W. Hine (1874-1940)
1991,Unsold,John Swannell (b.1946)
1852,Unsold,Édouard Denis Baldus (1813-1889)
1962,Unsold,Frank Horvat (b.1928)
1901,"400
",Baron Wilhelm von Gloeden (1856-1931)
1974,Unsold,Norman Parkinson (1913-1990)
1962,Unsold,Jerry Uelsmann (b.1934)
1969,"800
",Chris Killip (b.1946)
1963,"11500
",Lewis Morley (1925-2013)
