1908,Unsold,Edward Steichen (1879-1973)
2007,Unsold,James White (b.1967)
1880,"160
",H.F. Nielson (active 1880-1910) and others
1979,Unsold,Roxanne Lowit (dates unknown)
1966,Unsold,Osvaldo Salas (1914-1992)
1962,Unsold,George Barris (b.1922)
1880,"90
",Photographers unknown
1980,"70
",John Goto (b.1949)
1962,Unsold,George Barris (b.1922)
1962,"2000
",Bert Stern (1929-2013)
1962,"40
",Dorothy Hales Gary (active 1960s-1970s)
1981,Unsold,Martin Parr (b.1952)
1951,"20
",Philippe Halsman (1906-1979)
1965,"300
",Lewis Morley (1925-2013)
1962,"850
",Colin Jones (b.1936)
1948,"400
",Richard Sadler (b.1927)
1945,"60
",Gjon Mili (1904-1984)
1954,"800
",Willy Ronis (1910-2009)
1932,"40
",André Steiner (1901-1978)
1906,"150
",Edward Steichen (1879-1973)
1912,"50
",David Octavius Hill (1802-1870) and Robert Adamson
1904,"170
",Frederick H. Evans (1853-1943)
1931,"80
",Clarence Sinclair Bull (1896-1979)
1955,"350
",Heinz Held (1918-1990)
1938,"800
",Willy Ronis (1910-2009)
1872,Unsold,Eadweard Muybridge (1830-1904)
1900,"60
",Theodor Paar of Darjeeling (active 1890s-1900s)
1973,Unsold,Raymond Moore (1920-1987)
1963,"1200
",Terry O'Neill (b.1938)
1986,Unsold,Terry O'Neill (b.1938)
1904,Unsold,Attritbuted to John G. Bullock (1854-1939)
1952,"300
",Philippe Halsman (1906-1979)
1975,"90
",Lois Greenfield (b.1949)
1950,Unsold,Peter Basch (1921-2004)
1864,"3200
",Felice Beato (1832 - 1909)
1953,"2600
","Brassaï (Gyula Halász, 1899-1984)"
1951,"500
",Minor White (1908-1976)
1988,Unsold, Shahidul Alam (b.1955)
1970,"30
",Various photographers
1852,Unsold,Édouard Denis Baldus (1813-1889)
1930,"70
","Pierre Verger (1902 - 1996) and others,"
1975,"10
",Ira Rosenberg;  D.A.Rees (dates unknown)
1900,Unsold,Edward Steichen (1879-1973) and others
1984,"400
",Terry O'Neill (b.1938)
1874,"10
",Attributed to Charles Marville
1937,Unsold,Wols (1913-1951)
1991,"120
",Alexander Hamilton (b.1950)
1940,"160
",Photographer unknown
1954,Unsold,Kashio Aoki (dates unknown)
1975,"300
",Fay Godwin (1931-2005)
2000,"500
",Helmut Newton (1920-2004)
1986,"580
",Marco Glaviano (b.1942)
1954,Unsold,William Garnett (1916-2006)
1960,Unsold,Patrick Ward (b.1937)
1957,"260
",Bert Hardy (1913-1995)
1991,Unsold,Stephane Graff (b.1965)
1890,Unsold,Pieter Oosterhuis (1816-1885)
1980,"200
",Helmut Newton (1920-2004)
1996,Unsold,Roxanne Lowit (dates unknown)
1946,Unsold,William P Gottlieb (1917 - 2006)
1960,"190
",Francesc Català-Roca (1922-1998)
1973,"240
","Giuliano Borghesan (b.1934), Yves Montlahuc (dates"
1953,"1600
",Thurston Hopkins (b. 1913)
1962,Unsold,George Barris (b.1922)
1965,Unsold,Ernst Haas (1921-1986)
1963,"60
",Roger Mayne (b. 1929)
1996,"650
",Tom Ford (b.1961)
1980,Unsold,Clive Arrowsmith (b.1949)
1975,"1100
",David Hockney (b.1937)
1974,"500
",Norman Parkinson (1913-1990)
1942,"420
",Photographer unknown
1968,"30
",John Benton Harris (b.1939)
2001,"100
",Jim Cooke (b.1960)
1952,"600
",Thurston Hopkins (b.1913)
1960,Unsold,Peter Basch (1921-2004)
1933,"50
",Paramount Production Inc.
1858,"140
",Bisson Frères (1826-1900); (1814 - 1876)
1992,"190
",David Hiscock (b.1957)
2005,Unsold,Tony Duran (b.1968)
1887,"350
",Eadweard Muybridge (1830-1904)
1992,"400
",Nicholas Nixon (b.1947)
1880,"50
",Various photographers
1926,"380
",Berenice Abbott (1898-1991)
1950,"120
",Angus McBean (1904-1990)
1950,Unsold,Emile Savitry (1903-1967)
1900,"100
",Alexandre Bougault (1851-1911)
1980,"50
",Photographer unknown
1930,Unsold,Alex Stocker (1896-1962)
1880,"220
",Frank Meadow Sutcliffe (1853-1941)
1953,"600
",Phil Stern (b.1919)
1961,Unsold,Liborio Noval (1934-2012)
1970,"150
",Derek Bayes (active 1970s)
1986,Unsold,Annie Leibovitz (b.1949)
2002,Unsold,Dosfotos (Elio Stolz b.1974) (Ruth Segarra b.1977)
1980,"1800
",Willy Ronis (1910-2009)
1961,Unsold,Liborio Noval (1934-2012)
1973,Unsold,Albert Watson (b.1942)
1948,"800
",Willy Ronis (1910-2009)
1954,"200
",Edward Quinn (1920-1997)
1951,"500
",Angus McBean (1904-1990)
2007,Unsold,James White (b.1967)
1995,Unsold,Roxanne Lowit  (dates unknown)
1968,"50
",Adam Woolfitt (b.1938)
1995,"400
",Malcolm Pasley (b.1956)
1920,Unsold,Photographers unknown
1995,"400
",John Blakemore (b.1936)
1970,"130
", Photographers unknown
1963,"500
",Bill Ray (b.1936)
1972,"400
",Terry O'Neill (b.1938)
1920,"30
",Photographer unknown
1956,"1400
",Elliott Erwitt (b.1928)
1890,"10
",Photographer unknown
1957,"110
",Carlo Bevilacqua (1900-1988)
1880,"60
",Charles En Van Es (active 1880s-90s)
1920,"60
",Hilda Mullins (active 1920s)
1880,"300
",Photographer unknown
1890,"950
",Lala Deen Dayal (1844-1910)
1960,"90
",Ernst Haas (1921-1986)
1860,"90
",Various photographers
1919,"100
",Christian Schad (1894-1982)
1970,"10
",Michael O'Cleary (dates unknown)
2000,"200
",George Ktistakis (b.1966)
1978,Unsold,Roberta Bayley (b.1950)
1940,"80
",Photographer unknown
1909,Unsold,Herbert French (1872-1942)
1954,"800
",Thurston Hopkins (b.1913)
1970,"800
",Terry O'Neill (b.1938)
1964,"380
",Nat Finkelstein (1933-2009)
1973,"400
",Bob Gruen (b.1945)
1959,"150
",Terry Fincher (1931-2008)
2006,Unsold,James White (b.1967)
1992,"190
",David Hiscock (b.1957)
1880,"220
",Frank Meadow Sutcliffe (1853-1941)
1935,"800
",Willy Ronis (1910-2009)
1996,"200
",Tomio Seike (b.1943)
1956,"150
",Cecil Beaton (1904- 1980)
1950,"50
",Wolfgang Suschitzky (b.1912)
1880,"550
",Photographer unknown
2003,Unsold,Dosfotos (Elio Stolz b.1974) (Ruth Segarra b.1977)
1976,"200
",Rosalind Solomon (b.1930)
1954,"900
",Mario Giacomelli (1925-2000)
1996,Unsold,Alain Daussin (b.1955)
1930,"480
",Wolfgang Suschitzky (b.1912)
1991,Unsold,Helmut Newton (1920-2004)
1988,Unsold, Shahidul Alam (b.1955)
1951,Unsold,Grace Robertson (b.1930)
1950,"100
","Brassaï (Gyula Halász, 1899-1984)"
1968,Unsold,Will McBride (b.1931)
1954,Unsold,William A. Garnett (1916-2006)
1953,"650
",Milton Greene (1922-1985)
2008,Unsold,Bryan Adams (b.1959)
1976,"600
",Jean-Philippe Charbonnier (1921-2004)
1880,"380
",William Notman (1826-1891) and others
1900,"480
",Rudolf Lehnert (1878-1948) & Ernst Landrock (1878-
1956,"700
",Edouard Boubat (1923-1999)
1932,Unsold,Bill Brandt (1904-1983)
1926,"90
",Photographer unknown
1955,Unsold,Mario Giacomelli (1925-2000)
1987,"220
",Angus McBean (1904-1990)
1960,"40
",J. Frederick Smith (dates unknown)
1860,"50
",Charles Marville (1813-1879)
1998,"1000
",Martin Parr (b.1952)
1935,"180
","Brassaï (Gyula Halász, 1899-1984)"
1953,"1600
",Edouard Boubat (1923-1999)
1950,"110
",Carlo Bevilacqua (1900-1988)
1981,"650
",Romano Cagnoni (b. 1935)
1970,"300
",Osvaldo Salas (1914-1992)
1874,"1300
",Julia Margaret Cameron (1815-1879)
1880,"600
",Photographers unknown
1860,"110
",Fratelli Alinari (active 1860s); Carlo Naya
1925,"130
",František Drtikol (1883-1961)
1880,"60
",Adelphoi Zangaki (active 1870s-1890s); Bonfils (ac
1962,"600
",Bert Stern (1929-2013)
1942,"110
",Robert Coburn Senior(1900-1990)
1996,"550
",Tom Ford (b.1961)
1970,"30
",Ruan O'Lochlainn (active 1960s-70s)
2004,Unsold,James White (b.1967)
1906,Unsold,Hans Watzek (1848-1903)
1982,"50
",Mark Edwards (dates unknown)
2003,"900
",David Dawson (b.1960)
1991,"750
",Martin Parr (b.1952)
1903,"180
",Gertrude Käsebier (1852-1934)
1982,"1050
",Terry O'Neill (b.1938)
1950,"350
","Brassaï (Gyula Halász, 1899-1984)"
1930,"180
",Dorothy Wilding (1893-1976)
1880,"750
",Felix Bonfils  (1831 -1885)
1967,"500
",Terence Donovan (1936-1996)
1880,"170
",Photographer unknown
1950,"700
",Robert Doisneau (1912-1994)
1972,"320
",Bob Gruen (b.1945)
1920,"150
",Photographers unknown
1903,Unsold,Clarence H. White (1871-1925)
1860,"60
",Henry White (1819-1903)
2007,Unsold,Peter Suschitzky (b.1940)
1959,"400
",Paul Caponigro (b.1932)
