1909,"50
",Herbert French (1872-1942)
1936,"3800
",Walker Evans (1903-1975)
1887,Unsold,Eadweard Muybridge (1830-1904)
1982,"320
",Keizo Kitajima (b.1954)
1989,"1300
",Jeanloup Sieff (1933-2000)
1943,"600
",Tim Gidal (1909-1995)
1941,"1100
",Ansel Adams (1902-1984)
1969,"1200
",Yasuhiro Ishimoto (1921-2012)
1947,Unsold,Edouard Boubat (1928-1999)
1887,Unsold,Eadweard Muybridge (1830-1904)
1918,Unsold,Fred Judge (1872-1950)
1959,"400
",Ida Kar (1908-1974)
1952,"3200
",Robert Doisneau (1912-1994)
1975,"14000
",Helmut Newton (1920-2004)
1936,"250
",Margaret Bourke-White (1904-1971)
1936,Unsold,Horst P. Horst (1906-1999)
1981,Unsold,David Seidner (1957-1999)
1965,"5500
",David Bailey (b.1938)
1935,Unsold,Madame Yevonde (1893-1975)
1939,Unsold,Berenice Abbott (1898-1991)
1963,"1000
",Colin Jones (b.1936)
1951,"2000
",Robert Doisneau (1912-1994)
1958,"2400
",William Klein (b.1928)
1910,"800
",Photographers unknown
1857,Unsold,Roger Fenton (1819-1869)
1992,Unsold,Albert Watson (b.1942)
1973,"1000
",David Goldblatt (b.1930); Nadine Gordimer (b.1923)
1880,"450
",Henry King (1855-1923); G.Kitch & Co. (active 1880
1951,"650
",Bert Hardy (1913-1995)
1971,Unsold,Terry O'Neill (b.1938)
1905,"400
",Rudolf Lehnert and Ernest Landrock (1878-1948/66)
1880,"1400
",Marc Ferrez (1843–1923)
1857,"1000
",Robert Howlett (1831-1858); George Downes
2000,"2000
",Michael Thompson (b.1962)
1977,"800
",John Blakemore (b.1936)
2004,"700
",Helena Christensen (b.1968)
1858,Unsold,William Russell Sedgefield (1826-1902)
1991,"900
",Edouard Boubat (1928-1999)
1949,"2800
",Robert Doisneau (1912-1994)
1887,Unsold,Eadweard Muybridge (1830-1904)
1850,Unsold,Giacomo Caneva (1813 - 1865)
1970,"1100
",Daido Moriyama (b.1938)
