5/18/2011;1938,4;4;1938;1/1/1938
5/18/2011;1951,4;4;1951;1/1/1951
5/18/2011;1974;0;#VALUE!;#VALUE!
5/18/2011;1970;0;#VALUE!;#VALUE!
5/18/2011;1851;0;#VALUE!;#VALUE!
5/18/2011;1928,17;17;1928;1/1/1928
5/18/2011;1861,3;3;1861;1/1/1861
5/18/2011;1910,3;3;1910;1/1/1910
5/18/2011;1870,8;8;1870;1/1/1870
5/18/2011;1879;0;#VALUE!;#VALUE!
5/18/2011;1965,7;7;1965;1/1/1965
5/18/2011;1959,55;55;1959;1/1/1959
5/18/2011;1950;0;#VALUE!;#VALUE!
5/18/2011;1957,32;32;1957;1/1/1957
5/18/2011;1938;0;#VALUE!;#VALUE!
5/18/2011;1855,7;7;1855;1/1/1855
5/18/2011;1993,25;25;1993;1/1/1993
5/18/2011;1937;0;#VALUE!;#VALUE!
5/18/2011;1968;0;#VALUE!;#VALUE!
5/18/2011;1860,26;26;1860;1/1/1860
5/18/2011;1936;0;#VALUE!;#VALUE!
5/18/2011;1950;0;#VALUE!;#VALUE!
5/18/2011;1944,55;55;1944;1/1/1944
5/18/2011;2000,1;1;2000;1/1/2000
5/18/2011;1964;0;#VALUE!;#VALUE!
5/18/2011;1955,8;8;1955;1/1/1955
5/18/2011;1880;0;#VALUE!;#VALUE!
5/18/2011;2005;0;#VALUE!;#VALUE!
5/18/2011;1860,4;4;1860;1/1/1860
5/18/2011;1913,6;6;1913;1/1/1913
5/18/2011;1957,12;12;1957;1/1/1957
5/18/2011;1988,35;35;1988;1/1/1988
5/18/2011;1888;0;#VALUE!;#VALUE!
5/18/2011;1957;0;#VALUE!;#VALUE!
5/18/2011;1958;0;#VALUE!;#VALUE!
5/18/2011;1861,28;28;1861;1/1/1861
5/18/2011;1935;0;#VALUE!;#VALUE!
5/18/2011;1936;0;#VALUE!;#VALUE!
5/18/2011;1934;0;#VALUE!;#VALUE!
5/18/2011;1855,9;9;1855;1/1/1855
5/18/2011;1962,24;24;1962;1/1/1962
5/18/2011;1996,42;42;1996;1/1/1996
5/18/2011;1956,48;48;1956;1/1/1956
5/18/2011;1947;0;#VALUE!;#VALUE!
5/18/2011;1851;0;#VALUE!;#VALUE!
5/18/2011;1948,85;85;1948;1/1/1948
5/18/2011;1964;0;#VALUE!;#VALUE!
5/18/2011;2007,7;7;2007;1/1/2007
5/18/2011;1856,42;42;1856;1/1/1856
5/18/2011;1961;0;#VALUE!;#VALUE!
5/18/2011;1963,65;65;1963;1/1/1963
5/18/2011;1962,1;1;1962;1/1/1962
5/18/2011;1960,4;4;1960;1/1/1960
5/18/2011;1983,5;5;1983;1/1/1983
5/18/2011;1987,1;1;1987;1/1/1987
5/18/2011;1949;0;#VALUE!;#VALUE!
5/18/2011;1983,18;18;1983;1/1/1983
5/18/2011;1986,16;16;1986;1/1/1986
5/18/2011;1981;0;#VALUE!;#VALUE!
5/18/2011;1955,1;1;1955;1/1/1955
5/18/2011;1969,11;11;1969;1/1/1969
5/18/2011;1947,12;12;1947;1/1/1947
5/18/2011;1956,1;1;1956;1/1/1956
5/18/2011;1984,13;13;1984;1/1/1984
5/18/2011;1952;0;#VALUE!;#VALUE!
5/18/2011;1909,42;42;1909;1/1/1909
5/18/2011;1925;0;#VALUE!;#VALUE!
5/18/2011;1870;0;#VALUE!;#VALUE!
5/18/2011;1930,12;12;1930;1/1/1930
5/18/2011;1899;0;#VALUE!;#VALUE!
5/18/2011;2008,1;1;2008;1/1/2008
5/18/2011;1949;0;#VALUE!;#VALUE!
5/18/2011;1900;0;#VALUE!;#VALUE!
5/18/2011;1920,1;1;1920;1/1/1920
5/18/2011;1948;0;#VALUE!;#VALUE!
5/18/2011;2007,5;5;2007;1/1/2007
5/18/2011;1952,18;18;1952;1/1/1952
5/18/2011;1925;0;#VALUE!;#VALUE!
5/18/2011;1981,4;4;1981;1/1/1981
5/18/2011;1949;0;#VALUE!;#VALUE!
5/18/2011;1864,13;13;1864;1/1/1864
