Auction Date;M/D/Y Format;Price Sold in GBP;Year Artwork Created;GBP to USD;Artist
5/18/2011;1/1/1963;650;1963;1125,66;Cecil Beaton 
5/18/2011;1/1/1950;0;1950;0,00;Horace Roye 
5/18/2011;1/1/1987;1500;1987;2597,68;Inge Morath 
5/18/2011;1/1/1861;300;1861;519,54;John Jabez Edwin Mayall 
5/18/2011;1/1/1850;0;1850;0,00;Julien Vallou de Villeneuve 
5/18/2011;1/1/2006;6500;2006;11256,63;Sebastião Salgado 
5/18/2011;1/1/1975;1600;1975;2770,86;Cindy Sherman, 
5/18/2011;1/1/1870;800;1870;1385,43;Adolph Braun 
5/18/2011;1/1/1923;0;1923;0,00;Man Ray 
5/18/2011;1/1/1996;420;1996;727,35;Keith Carter 
5/18/2011;1/1/1953;1600;1953;2770,86;Thurston Hopkins 
5/18/2011;1/1/1962;2400;1962;4156,29;Walker Evans 
5/18/2011;1/1/1960;150;1960;259,77;Gered Mankowitz 
5/18/2011;1/1/1970;0;1970;0,00;Ansel Adams 
5/18/2011;1/1/2005;130;2005;225,13;Johnnie Shand Kydd 
5/18/2011;1/1/1956;100;1956;173,18;Angus McBean 
5/18/2011;1/1/1968;0;1968;0,00;Cecil Beaton 
5/18/2011;1/1/1962;100;1962;173,18;George Barris 
5/18/2011;1/1/1905;75;1905;129,88;Heinrich Kühn 
5/18/2011;1/1/1981;400;1981;692,72;Peter Stongwater 
5/18/2011;1/1/1965;2400;1965;4156,29;Frank Horvat 
5/18/2011;1/1/1957;120;1957;207,81;Ara Güler 
5/18/2011;1/1/1981;300;1981;519,54;John Blakemore 
5/18/2011;1/1/1855;700;1855;1212,25;Unidentified French Artist
5/18/2011;1/1/1947;0;1947;0,00;Kurt Hutton 
5/18/2011;1/1/1987;1000;1987;1731,79;Tomio Seike 
5/18/2011;1/1/1953;5000;1953;8658,94;Henri Cartier-Bresson 
5/18/2011;1/1/1964;700;1964;1212,25;Zdenek Voženílek 
5/18/2011;1/1/1934;0;1934;0,00;Wolfgang Suschitzky 
5/18/2011;1/1/1851;0;1851;0,00;Hugh Owen 
5/18/2011;1/1/1900;1200;1900;2078,15;Eugène Atget 
5/18/2011;1/1/1952;200;1952;346,36;Angus McBean 
5/18/2011;1/1/1970;0;1970;0,00;James Fee 
5/18/2011;1/1/2007;5000;2007;8658,94;Richard Galpin 
5/18/2011;1/1/1947;1200;1947;2078,15;Edouard Boubat 
5/18/2011;1/1/1957;3000;1957;5195,37;Walker Evans 
5/18/2011;1/1/1937;0;1937;0,00;Herbert List 
5/18/2011;1/1/1971;0;1971;0,00;Jerry N. Uelsmann 
5/18/2011;1/1/2005;0;2005;0,00;Jörg Sasse 
5/18/2011;1/1/1850;0;1850;0,00;James Robertson 
5/18/2011;1/1/2010;0;2010;0,00;Philippe Blache 
5/18/2011;1/1/1955;1000;1955;1731,79;Yoshiyuki Iwase 
5/18/2011;1/1/1960;800;1960;1385,43;Ernst Haas 
5/18/2011;1/1/1993;200;1993;346,36;Richard Sadler 
5/18/2011;1/1/1972;900;1972;1558,61;Apollo 17 Astronaut
5/18/2011;1/1/1954;800;1954;1385,43;Grace Robertson 
5/18/2011;1/1/1909;0;1909;0,00;David Octavius Hill 
5/18/2011;1/1/1931;0;1931;0,00;Herbert List 
5/18/2011;1/1/1924;600;1924;1039,07;Laura Gilpin 
5/18/2011;1/1/1981;0;1981;0,00;Peter Stongwater 
5/18/2011;1/1/1860;260;1860;450,27;Captain George Bankart 
5/18/2011;1/1/1960;4500;1960;7793,05;Andre Villers 
5/18/2011;1/1/1949;0;1949;0,00;George Rodger 
5/18/2011;1/1/1971;1000;1971;1731,79;David R. Scott 
5/18/2011;1/1/1969;1100;1969;1904,97;Neil Armstrong 
5/18/2011;1/1/1915;0;1915;0,00;Frantisek Drtikol 
5/18/2011;1/1/1957;3200;1957;5541,72;Bill Brandt 
5/18/2011;1/1/1965;700;1965;1212,25;Bruce Davidson 
5/18/2011;1/1/1955;0;1955;0,00;Larry Burrows 
5/18/2011;1/1/1964;1300;1964;2251,33;Osvaldo Salas 
5/18/2011;1/1/1887;500;1887;865,89;Eadweard Muybridge 
5/18/2011;1/1/1860;400;1860;692,72;Samuel Bourne 
5/18/2011;1/1/1924;0;1924;0,00;Berenice Abbott 
5/18/2011;1/1/1971;380;1971;658,08;Bernd Becher 
5/18/2011;1/1/1879;0;1879;0,00;John K. Hillers 
5/18/2011;1/1/2004;400;2004;692,72;Siân Pile 
5/18/2011;1/1/1928;1700;1928;2944,04;Albert Renger - Patzsch 
5/18/2011;1/1/1974;0;1974;0,00;Elliott Erwitt 
5/18/2011;1/1/1969;260;1969;450,27;Linda McCartney 
5/18/2011;1/1/2006;800;2006;1385,43;Sasha Gusov
5/18/2011;1/1/1950;0;1950;0,00;Maurice Georges Chanu
