1850s,140,1
1850s,Unsold,3
1860s,100,1
1860s,110,1
1860s,1200,1
1860s,3200,1
1860s,50,1
1860s,60,1
1860s,90,2
1870s,10,1
1870s,1300,1
1870s,Unsold,2
1880s,130,1
1880s,140,1
1880s,160,2
1880s,170,1
1880s,200,1
1880s,220,2
1880s,300,1
1880s,350,2
1880s,380,1
1880s,420,1
1880s,50,1
1880s,550,1
1880s,60,2
1880s,600,1
1880s,750,1
1880s,90,1
1880s,Unsold,2
1890s,10,1
1890s,140,1
1890s,380,1
1890s,850,1
1890s,950,1
1890s,Unsold,2
1900s aughts,100,1
1900s aughts,150,1
1900s aughts,170,1
1900s aughts,180,1
1900s aughts,30,2
1900s aughts,400,1
1900s aughts,480,1
1900s aughts,50,2
1900s aughts,60,1
1900s aughts,Unsold,7
1910s,100,1
1910s,50,3
1910s,Unsold,1
1920s,130,1
1920s,150,1
1920s,30,1
1920s,380,1
1920s,60,1
1920s,90,1
1920s,Unsold,2
1930s,150,1
1930s,160,1
1930s,180,3
1930s,240,1
1930s,40,1
1930s,480,1
1930s,50,1
1930s,60,1
1930s,70,1
1930s,80,1
1930s,800,2
1930s,Unsold,5
1940s,110,1
1940s,160,1
1940s,1600,1
1940s,400,1
1940s,420,1
1940s,480,1
1940s,60,1
1940s,650,1
1940s,700,1
1940s,80,1
1940s,800,1
1940s,Unsold,2
1950s,100,3
1950s,110,2
1950s,120,1
1950s,1200,1
1950s,1400,1
1950s,150,2
1950s,160,1
1950s,1600,2
1950s,1800,1
1950s,20,1
1950s,200,2
1950s,260,1
1950s,2600,1
1950s,300,2
1950s,350,2
1950s,400,2
1950s,50,2
1950s,500,5
1950s,60,1
1950s,600,2
1950s,650,1
1950s,700,3
1950s,80,1
1950s,800,4
1950s,850,1
1950s,900,2
1950s,Unsold,10
1960s,100,1
1960s,1000,1
1960s,110,1
1960s,1200,2
1960s,1300,1
1960s,150,1
1960s,190,1
1960s,20,1
1960s,200,1
1960s,2000,1
1960s,2600,1
1960s,30,1
1960s,300,1
1960s,380,1
1960s,40,2
1960s,420,1
1960s,50,1
1960s,500,2
1960s,60,1
1960s,600,2
1960s,650,1
1960s,800,1
1960s,850,1
1960s,90,1
1960s,Unsold,20
1970s,10,3
1970s,1000,1
1970s,1100,1
1970s,130,1
1970s,150,1
1970s,190,1
1970s,1900,1
1970s,200,1
1970s,240,1
1970s,30,3
1970s,300,2
1970s,320,1
1970s,40,2
1970s,400,2
1970s,500,1
1970s,600,1
1970s,800,1
1970s,90,1
1970s,Unsold,7
1980s,1050,1
1980s,140,1
1980s,1800,1
1980s,200,1
1980s,220,1
1980s,300,1
1980s,320,1
1980s,350,1
1980s,400,2
1980s,480,2
1980s,50,3
1980s,500,1
1980s,580,1
1980s,650,1
1980s,70,1
1980s,Unsold,7
1990s,100,2
1990s,1000,1
1990s,120,1
1990s,170,1
1990s,190,2
1990s,200,1
1990s,350,1
1990s,400,3
1990s,420,1
1990s,5,1
1990s,550,2
1990s,600,1
1990s,650,2
1990s,700,1
1990s,750,1
1990s,Unsold,6
2000s aughts,100,1
2000s aughts,1300,1
2000s aughts,200,1
2000s aughts,400,1
2000s aughts,500,1
2000s aughts,900,1
2000s aughts,Unsold,11
