1850s,1700,10,2,1000,700,850.0,850.0
1860s,1480,2,2,1000,480,740.0,740.0
1870s,3200,1,1,3200,3200,3200.0,3200
1880s,3610,13,6,1400,110,601.6666666666666,500.0
1890s,900,1,1,900,900,900.0,900
1900s aughts,450,3,2,400,50,225.0,225.0
1910s,1900,5,2,1100,800,950.0,950.0
1920s,5600,7,2,5000,600,2800.0,2800.0
1930s,16950,18,8,4200,250,2118.75,1475.0
1940s,14250,22,11,2800,600,1295.4545454545455,1100
1950s,42170,49,31,5500,240,1360.3225806451612,900
1960s,53350,34,25,10000,500,2134.0,1200
1970s,34650,25,17,14000,350,2038.235294117647,850
1980s,14570,15,9,6500,320,1618.888888888889,1300
1990s,9800,11,4,5000,900,2450.0,1950.0
2000s aughts,16100,10,8,4400,700,2012.5,1450.0
2010s,600,1,1,600,600,600.0,600
